quarter,gdp_growth,cpi_inflation,wpi_inflation,pmi_manufacturing,repo_rate,exports_yoy,core_sector_growth,capacity_utilization,corporate_earnings_growth,pfce_growth,inr_usd,unemployment,label
Q1_FY2020,5.1,6.1,2.8,52.7,5.75,-2.3,2.1,73.9,4.8,5.8,69.2,8.6,Warning
Q2_FY2020,4.3,6.9,1.7,51.4,5.4,-2.5,0.2,72.5,1.2,5.2,70.9,8.9,Slowdown
Q3_FY2020,3.26,6.5,0.6,52.7,5.15,0.7,-1.5,71.8,-2.4,4.5,71.3,9.2,Slowdown
Q4_FY2020,2.94,5.9,-1.6,47.2,4.4,-34.6,-7.8,68.5,-12.8,1.8,75.6,10.8,Slowdown
Q1_FY2021,-23.13,6.7,-1.4,30.8,4.0,-29.8,-18.8,47.3,-45.2,-24.5,75.0,23.5,Slowdown
Q2_FY2021,-5.84,7.3,1.2,52.3,4.0,5.2,0.8,63.3,-12.5,-8.5,73.7,11.8,Slowdown
Q3_FY2021,1.78,5.8,3.1,56.3,4.0,9.4,6.5,66.6,22.4,4.2,73.5,9.1,Slowdown
Q4_FY2021,3.29,5.2,5.7,57.5,4.0,18.8,8.9,68.3,35.8,6.8,73.1,8.4,Slowdown
Q1_FY2022,22.63,5.6,12.4,55.3,4.0,85.0,18.2,69.4,85.2,31.2,74.1,8.0,Stable
Q2_FY2022,9.87,5.3,11.6,56.4,4.0,27.0,8.9,68.8,32.5,12.8,74.2,8.2,Stable
Q3_FY2022,5.53,5.6,13.6,55.5,4.0,16.0,3.8,72.4,18.4,6.5,74.4,8.1,Warning
Q4_FY2022,4.45,6.3,13.0,55.3,4.0,16.2,5.2,74.3,15.2,5.8,75.9,7.8,Slowdown
Q1_FY2023,13.49,7.3,15.5,56.8,4.9,22.3,12.8,74.5,22.8,14.2,78.1,7.6,Warning
Q2_FY2023,5.96,7.0,8.1,57.7,5.9,8.3,4.8,73.8,12.5,8.9,81.9,7.8,Warning
Q3_FY2023,4.84,5.9,3.4,55.7,6.25,-8.7,5.6,74.0,8.2,6.8,82.7,7.9,Slowdown
Q4_FY2023,6.9,6.4,-0.9,57.5,6.5,-9.6,4.5,74.5,6.1,6.5,83.0,8.0,Warning
Q1_FY2024,9.66,4.8,-2.6,57.8,6.5,2.5,8.5,76.3,8.8,7.8,82.6,7.8,Stable
Q2_FY2024,9.34,3.7,1.3,57.5,6.5,3.8,8.2,76.1,10.5,8.5,83.8,7.7,Stable
Q3_FY2024,9.51,5.5,1.8,56.5,6.5,8.2,7.8,75.2,12.8,9.2,84.1,7.6,Stable
Q4_FY2024,8.35,4.9,0.2,57.7,6.5,11.0,6.8,76.0,14.5,9.8,87.1,7.8,Stable
Q1_FY2025,6.52,4.9,1.5,58.1,6.5,14.2,6.5,74.5,10.2,9.5,84.4,8.1,Stable
Q2_FY2025,5.58,3.6,1.8,57.2,6.25,10.3,4.2,74.2,7.8,8.8,84.1,8.0,Warning
Q3_FY2025,6.15,5.5,2.4,56.5,6.0,18.2,4.5,74.8,5.5,7.5,85.8,8.1,Warning
Q4_FY2025,7.8,3.9,6.5,57.5,5.5,16.1,3.8,75.5,4.5,7.0,87.5,8.0,Stable
